Price,Close,High,Low,Open,Volume
Ticker,YFI-USD,YFI-USD,YFI-USD,YFI-USD,YFI-USD
Date,,,,,
2022-03-30,24056.68359375,24476.900390625,22774.8828125,23370.052734375,176126523
2022-03-31,22270.748046875,24268.650390625,22230.103515625,24053.84375,146084805
2022-04-01,23481.546875,23534.53125,21724.74609375,22274.576171875,129198354
2022-04-02,23312.91796875,23914.6640625,23033.9921875,23479.671875,156312063
2022-04-03,25186.033203125,25300.875,22860.65625,23316.533203125,164743818
2022-04-04,23677.1640625,25302.09375,23116.03125,25184.384765625,158191289
2022-04-05,23591.357421875,24387.345703125,23400.765625,23692.384765625,120061782
2022-04-06,21768.08984375,23591.927734375,21725.6328125,23591.927734375,160695905
2022-04-07,21328.736328125,21979.583984375,21136.333984375,21771.4453125,97794908
2022-04-08,20581.30859375,21855.771484375,20529.9609375,21328.46484375,99106239
2022-04-09,20615.63671875,20618.060546875,20300.65234375,20577.080078125,75640482
2022-04-10,20191.6875,20877.171875,20092.31640625,20609.076171875,60879978
2022-04-11,18499.373046875,20187.34375,18328.3515625,20187.34375,112864196
2022-04-12,18822.859375,19383.12890625,18415.865234375,18504.958984375,70884491
2022-04-13,19379.060546875,19425.810546875,18647.126953125,18818.435546875,75384001
2022-04-14,18813.92578125,19540.548828125,18707.505859375,19377.578125,70609750
2022-04-15,19123.40234375,19262.28515625,18811.806640625,18814.45703125,59891588
2022-04-16,19127.30859375,19310.857421875,18847.6015625,19122.21875,51608961
2022-04-17,18725.95703125,19391.27734375,18649.03515625,19125.654296875,52755432
2022-04-18,19132.7734375,19146.501953125,18075.453125,18725.513671875,70484571
2022-04-19,19430.99609375,19542.52734375,18916.24609375,19133.130859375,64708158
2022-04-20,19146.41796875,19470.390625,18907.240234375,19431.634765625,66058920
2022-04-21,18779.64453125,20189.07421875,18713.1015625,19147.53125,97084717
2022-04-22,18712.123046875,19123.42578125,18515.916015625,18779.7265625,66388493
2022-04-23,18374.60546875,18722.654296875,18372.763671875,18707.546875,43349629
2022-04-24,18285.552734375,18775.1953125,18284.796875,18375.3984375,50539310
2022-04-25,18709.751953125,18725.98046875,17549.91796875,18285.376953125,74202008
2022-04-26,17480.625,19023.515625,17398.80859375,18706.23046875,81797030
2022-04-27,17727.3125,17951.59765625,17381.068359375,17482.20703125,72263491
2022-04-28,17863.744140625,18180.7421875,17655.53515625,17726.416015625,70398369
2022-04-29,16945.1171875,18095.701171875,16599.421875,17862.037109375,87187023
2022-04-30,16629.48046875,17188.93359375,16022.5810546875,16943.373046875,126450937
2022-05-01,17101.4921875,17381.974609375,16459.0,16628.083984375,84289855
2022-05-02,17157.701171875,17360.828125,16708.10546875,17098.98828125,67847397
2022-05-03,17431.435546875,17790.07421875,17090.365234375,17158.373046875,89169349
2022-05-04,18311.51953125,18477.390625,17379.373046875,17435.3828125,117729822
2022-05-05,16886.71875,18397.380859375,16610.39453125,18310.796875,85121425
2022-05-06,16764.97265625,17225.40234375,16543.404296875,16888.740234375,79025378
2022-05-07,16402.44140625,16889.537109375,16197.4423828125,16765.021484375,47909564
