Price,Close,High,Low,Open,Volume
Ticker,OMG-USD,OMG-USD,OMG-USD,OMG-USD,OMG-USD
Date,,,,,
2022-03-09,3.9835329055786133,4.02365779876709,3.8028929233551025,3.8028929233551025,88129389
2022-03-10,4.301077842712402,4.735087871551514,3.8803250789642334,3.9837698936462402,837697285
2022-03-11,4.038197040557861,4.313423156738281,3.9981529712677,4.30479097366333,208732870
2022-03-12,4.00573205947876,4.209817886352539,4.00573205947876,4.038242816925049,121926539
2022-03-13,3.926466941833496,4.1039509773254395,3.919764995574951,4.004879951477051,90211684
2022-03-14,4.033298969268799,4.033717155456543,3.8459761142730713,3.9258410930633545,84834049
2022-03-15,4.019527912139893,4.083600997924805,3.892788887023926,4.032866954803467,84525786
2022-03-16,4.167126178741455,4.167126178741455,3.9777278900146484,4.019292831420898,146158313
2022-03-17,4.132317066192627,4.172332763671875,4.088295936584473,4.166996002197266,93385765
2022-03-18,4.295164108276367,4.427123069763184,4.066166877746582,4.131811141967773,191954826
2022-03-19,4.704211235046387,4.836572170257568,4.29111385345459,4.29423713684082,419328927
2022-03-20,4.852718830108643,5.177892208099365,4.705418109893799,4.705418109893799,471645129
2022-03-21,4.816833019256592,4.935391902923584,4.664699077606201,4.852785110473633,227401693
2022-03-22,4.803520202636719,4.965920925140381,4.683909893035889,4.816469192504883,190132087
2022-03-23,5.216385841369629,5.303442001342773,4.798256874084473,4.804532051086426,454727207
2022-03-24,5.224648952484131,5.28203821182251,5.028710842132568,5.214962959289551,188817966
2022-03-25,5.141790866851807,5.3839640617370605,4.990110874176025,5.225520133972168,187703318
2022-03-26,5.205383777618408,5.205383777618408,5.04656982421875,5.140307903289795,91904565
2022-03-27,5.425635814666748,5.428247928619385,5.102667808532715,5.210390090942383,144961522
2022-03-28,5.332096099853516,5.604864120483398,5.304444789886475,5.425882816314697,217177479
2022-03-29,5.6497111320495605,5.969933986663818,5.32460880279541,5.327829837799072,371995653
2022-03-30,5.687398910522461,5.803469181060791,5.490538120269775,5.648589134216309,217431158
2022-03-31,5.487532138824463,6.063017845153809,5.453419208526611,5.687363147735596,285161818
2022-04-01,5.895339012145996,5.9822611808776855,5.483191967010498,5.489778995513916,383009155
2022-04-02,6.03644323348999,6.0888671875,5.796579837799072,5.895122051239014,252504294
2022-04-03,6.012516975402832,6.1490278244018555,5.839962005615234,6.033360004425049,226319287
2022-04-04,5.8004279136657715,6.032495021820068,5.5856032371521,6.012213230133057,212907082
2022-04-05,5.481713771820068,5.868494987487793,5.48002290725708,5.800241947174072,139864784
2022-04-06,4.802296161651611,5.481399059295654,4.801849842071533,5.481399059295654,241304701
2022-04-07,4.991395950317383,5.056474208831787,4.7200517654418945,4.8027849197387695,145299466
2022-04-08,4.686431884765625,5.073643207550049,4.660365104675293,4.992248058319092,119510861
2022-04-09,4.873000144958496,4.889688014984131,4.686366081237793,4.686366081237793,90320006
2022-04-10,4.736055850982666,4.927361965179443,4.736055850982666,4.8729729652404785,76142151
2022-04-11,4.227190971374512,4.734685897827148,4.186161041259766,4.734685897827148,128565760
2022-04-12,4.4326958656311035,4.565018177032471,4.210341930389404,4.228384971618652,144928726
2022-04-13,4.6432647705078125,4.662365913391113,4.408998966217041,4.4323530197143555,102652132
2022-04-14,4.516398906707764,4.7481818199157715,4.46638822555542,4.642714023590088,90804904
2022-04-15,4.635260105133057,4.838706016540527,4.516104221343994,4.516104221343994,144714034
2022-04-16,4.785299777984619,4.869675159454346,4.635022163391113,4.635022163391113,134261363
2022-04-17,4.514584064483643,4.7847161293029785,4.501552104949951,4.7847161293029785,65813892
2022-04-18,4.700231075286865,4.709963798522949,4.32050895690918,4.514403820037842,91652772
2022-04-19,4.799026966094971,4.799026966094971,4.647593021392822,4.700437068939209,77357796
2022-04-20,4.766707897186279,4.951902866363525,4.647161960601807,4.7992448806762695,112759140
2022-04-21,4.603795051574707,5.024547100067139,4.586658954620361,4.766477108001709,138084230
2022-04-22,4.643397808074951,4.764604091644287,4.542710781097412,4.603713035583496,92450362
2022-04-23,4.597601890563965,4.670152187347412,4.553191184997559,4.641541004180908,58945152
2022-04-24,4.5391130447387695,4.89527702331543,4.490588188171387,4.597177028656006,134198273
2022-04-25,4.524172782897949,4.551005840301514,4.224658966064453,4.539569854736328,91213710
2022-04-26,4.096179008483887,4.58744478225708,4.070252895355225,4.52395486831665,96632758
2022-04-27,4.194949150085449,4.263030052185059,4.094616889953613,4.096558094024658,78039535
2022-04-28,4.164175033569336,4.322038173675537,4.128316879272461,4.195052146911621,79844275
2022-04-29,3.949528932571411,4.183343887329102,3.8666789531707764,4.164209842681885,80971915
2022-04-30,3.6122241020202637,4.048940181732178,3.536391019821167,3.9493141174316406,103884857
2022-05-01,3.8593530654907227,3.8643760681152344,3.572870969772339,3.6124770641326904,90357220
2022-05-02,3.8408029079437256,3.9004039764404297,3.6704249382019043,3.859419107437134,92572124
2022-05-03,3.7385430335998535,3.9300620555877686,3.655082941055298,3.840583086013794,82225749
2022-05-04,4.248249053955078,4.262770175933838,3.724095106124878,3.738292932510376,124838404
2022-05-05,3.758734941482544,4.276266098022461,3.6806960105895996,4.247531890869141,122530479
2022-05-06,3.6685900688171387,3.7636160850524902,3.5725760459899902,3.7584919929504395,97171750
2022-05-07,3.6215450763702393,3.7112510204315186,3.5156190395355225,3.6684679985046387,70920615
2022-05-08,3.5704538822174072,3.7227089405059814,3.5319430828094482,3.6216299533843994,93948032
2022-05-09,2.975456953048706,3.6615540981292725,2.975456953048706,3.5707650184631348,150594482
2022-05-10,3.102860927581787,3.381485939025879,2.838421106338501,2.969896078109741,224660995
2022-05-11,2.4820001125335693,3.197925090789795,2.2856500148773193,3.100785970687866,290213730
2022-05-12,2.3643300533294678,2.6159989833831787,1.9466520547866821,2.4852890968322754,225813753
2022-05-13,2.476047992706299,2.706963062286377,2.327996015548706,2.3634119033813477,106404351
2022-05-14,2.5831480026245117,2.6025989055633545,2.3127779960632324,2.4764440059661865,72354732
2022-05-15,2.6554579734802246,2.655838966369629,2.3778579235076904,2.5833709239959717,71850673
2022-05-16,2.442821979522705,2.6570870876312256,2.4116430282592773,2.6557929515838623,60713510
2022-05-17,2.573681116104126,2.611130952835083,2.417172908782959,2.4423789978027344,63354988
2022-05-18,2.3460609912872314,2.6083760261535645,2.344464063644409,2.573185920715332,67789995
2022-05-19,2.5079219341278076,2.5246009826660156,2.2545459270477295,2.346545934677124,72541651
2022-05-20,2.4150679111480713,2.5460169315338135,2.354741096496582,2.504638910293579,66034885
2022-05-21,2.509320020675659,2.524348020553589,2.362377882003784,2.4144539833068848,70007417
2022-05-22,2.6004369258880615,2.63075590133667,2.478598117828369,2.510205030441284,72726111
2022-05-23,2.536410093307495,2.783220052719116,2.5208098888397217,2.600037097930908,134167315
2022-05-24,2.59142804145813,2.61018705368042,2.420578956604004,2.5357370376586914,93866381
2022-05-25,2.5317609310150146,2.6248979568481445,2.463284969329834,2.5910348892211914,102531097
2022-05-26,2.362122058868408,2.589284896850586,2.3009769916534424,2.5322930812835693,107289940
2022-05-27,2.349123001098633,2.442305088043213,2.2507810592651367,2.3611769676208496,122571827
2022-05-28,2.407413959503174,2.4587230682373047,2.347762107849121,2.389348030090332,97461622
2022-05-29,2.5674350261688232,2.569509983062744,2.3650190830230713,2.407417058944702,106222112
2022-05-30,2.754354953765869,2.7797648906707764,2.5607900619506836,2.5683341026306152,134693849
2022-05-31,2.7485880851745605,2.8325231075286865,2.6343860626220703,2.75410795211792,133413115
2022-06-01,2.495176076889038,2.8477909564971924,2.478646993637085,2.7487640380859375,123040422
2022-06-02,2.5523860454559326,2.5637619495391846,2.4186949729919434,2.49440598487854,89169391
2022-06-03,2.421449899673462,2.552341938018799,2.3861300945281982,2.552341938018799,70258354
2022-06-04,2.4304540157318115,2.4486138820648193,2.3648009300231934,2.421983003616333,61874306
2022-06-05,2.479140043258667,2.502937078475952,2.3948280811309814,2.430432081222534,64252011
2022-06-06,2.5709750652313232,2.7056570053100586,2.4770689010620117,2.47953200340271,94057002
2022-06-07,2.635171890258789,2.7100510597229004,2.4137160778045654,2.571113109588623,85391897
2022-06-08,2.635883092880249,2.73500394821167,2.5726358890533447,2.6349799633026123,97939063
2022-06-09,2.7201719284057617,2.796431064605713,2.588313102722168,2.640230894088745,126513388
2022-06-10,2.493058919906616,2.7242019176483154,2.4881019592285156,2.7206709384918213,74378025
2022-06-11,2.2812399864196777,2.5666279792785645,2.2678658962249756,2.4927239418029785,76284119
2022-06-12,2.1642050743103027,2.321748971939087,2.1430540084838867,2.281723976135254,93449523
2022-06-13,1.9016749858856201,2.1625139713287354,1.8692630529403687,2.1625139713287354,173966142
2022-06-14,1.931615948677063,1.9547159671783447,1.7648990154266357,1.901432991027832,103003596
2022-06-15,2.020176887512207,2.020188093185425,1.7412680387496948,1.9303690195083618,102425178
2022-06-16,1.7984950542449951,2.050704002380371,1.7690459489822388,2.0210530757904053,65413762
2022-06-17,1.8573360443115234,1.8952809572219849,1.7973730564117432,1.7995179891586304,59244939
2022-06-18,1.7213369607925415,1.889515995979309,1.6052459478378296,1.8569649457931519,76322701
2022-06-19,1.8145569562911987,1.8434070348739624,1.6387410163879395,1.7207130193710327,65841201
2022-06-20,1.872967004776001,1.8928200006484985,1.7381399869918823,1.814291000366211,50863863
2022-06-21,1.8763259649276733,1.9660660028457642,1.8330179452896118,1.8728669881820679,51669172
2022-06-22,1.8021650314331055,1.8832730054855347,1.7833060026168823,1.8779209852218628,40092077
2022-06-23,1.9092069864273071,1.9144940376281738,1.8011829853057861,1.802219033241272,39964727
2022-06-24,2.0136539936065674,2.0414559841156006,1.9078819751739502,1.9092639684677124,47242923
2022-06-25,2.038661003112793,2.0913779735565186,1.942149043083191,2.0134880542755127,57792643
2022-06-26,1.8975909948349,2.079279899597168,1.8975909948349,2.0377678871154785,42005286
2022-06-27,1.9879029989242554,2.037508010864258,1.898237943649292,1.8983319997787476,62161088
2022-06-28,1.8560450077056885,2.0492360591888428,1.850870966911316,1.98751699924469,59056823
2022-06-29,1.8603899478912354,1.8961559534072876,1.8206650018692017,1.8559470176696777,47347232
2022-06-30,1.8429839611053467,1.8708139657974243,1.7005170583724976,1.8611910343170166,48939596
2022-07-01,1.7816640138626099,1.8897130489349365,1.747244954109192,1.8462660312652588,50191070
2022-07-02,1.8224149942398071,1.8379319906234741,1.7605129480361938,1.7818050384521484,38793767
2022-07-03,1.8212319612503052,1.8318270444869995,1.7588510513305664,1.8222650289535522,27626149
2022-07-04,1.8737280368804932,1.8760839700698853,1.7738549709320068,1.8212510347366333,33301947
2022-07-05,1.8124279975891113,1.8889199495315552,1.7666879892349243,1.8732210397720337,38121895
2022-07-06,1.835528016090393,1.848209023475647,1.793416976928711,1.8125619888305664,31389621
2022-07-07,1.9168980121612549,1.9274020195007324,1.8311779499053955,1.835603952407837,34829160
2022-07-08,1.8976269960403442,1.9639010429382324,1.8533389568328857,1.9165350198745728,40629380
2022-07-09,1.9336010217666626,1.9624379873275757,1.8945529460906982,1.8973230123519897,39895520
2022-07-10,1.8700159788131714,1.9337680339813232,1.8424930572509766,1.9334980249404907,33062767
2022-07-11,1.702219009399414,1.8698879480361938,1.6971559524536133,1.8698879480361938,39238928
2022-07-12,1.6465970277786255,1.7330780029296875,1.6465970277786255,1.7023489475250244,41166293
2022-07-13,1.7435699701309204,1.7483140230178833,1.6079989671707153,1.6459239721298218,46240271
2022-07-14,1.7666829824447632,1.7929149866104126,1.6689469814300537,1.7432169914245605,40399222
2022-07-15,1.7701150178909302,1.8163739442825317,1.7373319864273071,1.7667980194091797,41456829
2022-07-16,1.8353509902954102,1.8394980430603027,1.739740014076233,1.7700430154800415,36128484
2022-07-17,1.8059580326080322,1.8838930130004883,1.8059580326080322,1.8353439569473267,35586915
2022-07-18,1.9427169561386108,1.9551279544830322,1.8032360076904297,1.8060779571533203,50300580
2022-07-19,2.0061659812927246,2.044926881790161,1.8908849954605103,1.9418729543685913,61857680
2022-07-20,1.8872580528259277,2.052241086959839,1.8776450157165527,2.006373882293701,51303389
2022-07-21,1.9268410205841064,1.9377180337905884,1.8325639963150024,1.8877379894256592,33740067
2022-07-22,2.0241739749908447,2.1896679401397705,1.9197709560394287,1.9269579648971558,123015433
2022-07-23,2.0872249603271484,2.1577420234680176,2.003798007965088,2.0232551097869873,77780346
2022-07-24,2.0557940006256104,2.1029129028320312,2.0436019897460938,2.0869710445404053,42130558
2022-07-25,1.849321961402893,2.061837911605835,1.849321961402893,2.0551109313964844,42056697
2022-07-26,1.8686280250549316,1.8686280250549316,1.7882250547409058,1.8493549823760986,33326024
2022-07-27,2.005002975463867,2.005002975463867,1.832306981086731,1.869320034980774,42592465
2022-07-28,2.3148069381713867,2.3651559352874756,1.9594500064849854,2.0050671100616455,174281829
2022-07-29,2.290895938873291,2.4204559326171875,2.245634078979492,2.315474033355713,125652711
2022-07-30,2.2547829151153564,2.4005749225616455,2.2479729652404785,2.290621042251587,85403399
2022-07-31,2.2007908821105957,2.319988965988159,2.1913249492645264,2.255100965499878,55156714
2022-08-01,2.2716920375823975,2.3097329139709473,2.1861379146575928,2.20066499710083,47569311
2022-08-02,2.158957004547119,2.2736968994140625,2.089215040206909,2.27136492729187,43709122
2022-08-03,2.156804084777832,2.2513670921325684,2.095158100128174,2.1587419509887695,36341760
2022-08-04,2.200265884399414,2.239129066467285,2.1533451080322266,2.156748056411743,37680636
2022-08-05,2.3558459281921387,2.3888890743255615,2.193100929260254,2.1991829872131348,51533589
2022-08-06,2.3370869159698486,2.4333291053771973,2.326780080795288,2.3559789657592773,46870693
2022-08-07,2.3328850269317627,2.371601104736328,2.2996718883514404,2.3371269702911377,39123080
2022-08-08,2.399730920791626,2.449007034301758,2.3187830448150635,2.333061933517456,52780962
2022-08-09,2.288912057876587,2.505573034286499,2.2617619037628174,2.3998920917510986,57061210
2022-08-10,2.397505044937134,2.4056339263916016,2.24389910697937,2.2888100147247314,49979224
2022-08-11,2.3950541019439697,2.431972026824951,2.381056070327759,2.397447109222412,47932999
2022-08-12,2.4063971042633057,2.414107084274292,2.339421033859253,2.395477056503296,36800795
2022-08-13,2.4063971042633057,2.438119888305664,2.387537956237793,2.4066390991210938,30677777
2022-08-14,2.331998109817505,2.449493885040283,2.307616949081421,2.406972885131836,38551077
2022-08-15,2.3323609828948975,2.3928029537200928,2.275865077972412,2.3321030139923096,37687961
2022-08-16,2.273508071899414,2.3400959968566895,2.2585039138793945,2.331839084625244,31915296
2022-08-17,2.2089591026306152,2.3906819820404053,2.201035976409912,2.273287057876587,48296808
2022-08-18,2.121004104614258,2.251642942428589,2.120743989944458,2.2099170684814453,34351823
2022-08-19,1.8910479545593262,2.1236989498138428,1.8717130422592163,2.1208229064941406,47791094
2022-08-20,1.8764920234680176,1.9391109943389893,1.8332279920578003,1.8907639980316162,29151916
2022-08-21,1.9434820413589478,1.9626959562301636,1.8718459606170654,1.8759939670562744,24681848
2022-08-22,1.9241830110549927,1.9431129693984985,1.8289979696273804,1.9431129693984985,29353408
2022-08-23,1.9689370393753052,1.9734389781951904,1.87751305103302,1.9243429899215698,62824916
2022-08-24,1.9529759883880615,2.0085620880126953,1.916592001914978,1.9685570001602173,47244759
